name,vendor,role,domain,category,sub_category,strengths,best_for,pricing,latency_ms_est,access_url,integration_type,tags,reliability_score,popularity_score
Microsoft Teams,Microsoft,video-call,Communication,communication,Meet,chat|video,enterprise,Paid,900,https://www.microsoft.com/microsoft-teams,saas,"video|microsoft",0.97,0.97
Slack,Salesforce,messaging,Communication,communication,Chat,channels|apps,ops,Freemium/Paid,800,https://slack.com,saas,"chat|collaboration",0.97,0.98
Zoom,Zoom,video-call,Communication,communication,Meet,webinar|chat,ops,Freemium/Paid,900,https://zoom.us,saas,"video|zoom",0.97,0.98
Google Meet,Google,video-call,Communication,communication,Meet,gmail|calendar,office,Free,800,https://meet.google.com,web,"video|google",0.96,0.97
Cisco Webex,Cisco,video-call,Communication,communication,Meet,enterprise|hardware,enterprise,Paid,900,https://www.webex.com,saas,"video|cisco",0.95,0.95
Discord,Discord,voice-chat,Communication,communication,Community,voice|text,gaming,Free,700,https://discord.com,web,"chat|community",0.95,0.96
Mattermost,Mattermost,chat,Communication,communication,Team,open-source|selfhost,dev,Free,900,https://mattermost.com,server,"chat|open-source",0.9,0.88
Rocket.Chat,Rocket.Chat,chat,Communication,communication,Team,open-source|integrations,dev,Free,900,https://www.rocket.chat,server,"chat|open-source",0.9,0.88
Basecamp,37signals,pm,Communication,pm,Collab,discussions|tasks,smb,Paid,900,https://basecamp.com,saas,"pm|collab",0.92,0.9
ClickUp,ClickUp,work-os,Communication,pm,Tasks,tasks|docs|goals,/organize,Freemium/Paid,800,https://clickup.com,saas,"pm|work",0.92,0.9
Notion,Notion,knowledge-base,Communication,productivity,Wiki,wiki|db|notes,/organize,Freemium/Paid,900,https://www.notion.so,saas,"wiki|notes",0.95,0.96
Miro,Miro,whiteboard,Communication,productivity,Collab,canvas|workshop,/organize,Freemium/Paid,900,https://miro.com,saas,"whiteboard|collab",0.95,0.95
Airtable,Airtable,no-code-db,Communication,data,Tables,tables|automation,/organize,Freemium/Paid,900,https://airtable.com,saas,"nocode|database",0.94,0.94
Trello,Atlassian,kanban,Communication,pm,Boards,boards|powerups,/organize,Freemium/Paid,900,https://trello.com,saas,"kanban|tasks",0.95,0.95
Asana,Asana,pm,Communication,pm,Tasks,tasks|calendar,/organize,Freemium/Paid,900,https://asana.com,saas,"tasks|pm",0.96,0.96
Jira,Atlassian,pm,Communication,pm,Agile,scrum|kanban,/organize,Paid,1000,https://www.atlassian.com/software/jira,saas,"agile|issues",0.97,0.96
Google Chat,Google,chat,Communication,communication,Chat,gmail|spaces,office,Free,800,https://mail.google.com/chat,web,"chat|google",0.94,0.9
Outlook,Microsoft,email,Communication,office,Mail,mail|calendar,office,Paid,700,https://outlook.office.com,web,"email|outlook",0.98,0.98
Gmail,Google,email,Communication,office,Mail,mail|calendar,office,Free,700,https://mail.google.com,web,"email|google",0.98,0.98
Thunderbird,Mozilla,email,Communication,office,Mail,open-source|imap,personal,Free,700,https://www.thunderbird.net,desktop,"email|open-source",0.9,0.9
Zoho Mail,Zoho,email,Communication,office,Mail,mail|crm,enterprise,Free/Paid,700,https://www.zoho.com/mail,saas,"mail|zoho",0.94,0.92
ProtonMail,Proton,email,Communication,office,Mail,secure|private,personal,Free/Paid,700,https://proton.me/mail,web,"secure|email",0.95,0.95
