name,vendor,role,domain,category,sub_category,strengths,best_for,pricing,latency_ms_est,access_url,integration_type,tags,reliability_score,popularity_score
Adobe Photoshop,Adobe,image-editing,Creative,image,Edit,retouch|layers|ai-remix,/creative,Paid,1400,https://www.adobe.com/products/photoshop.html,desktop,"image|photoshop",0.98,0.99
Adobe Illustrator,Adobe,vector-design,Creative,image,Vector,branding|logos,/creative,Paid,1400,https://www.adobe.com/products/illustrator.html,desktop,"vector|illustrator",0.97,0.98
Adobe InDesign,Adobe,layout,Creative,image,Layout,print|magazine,/creative,Paid,1500,https://www.adobe.com/products/indesign.html,desktop,"layout|print",0.96,0.95
Adobe Premiere Pro,Adobe,video-editing,Creative,video,Timeline,editing|color|fx,/creative,Paid,2500,https://www.adobe.com/products/premiere.html,desktop,"video|premiere",0.97,0.97
After Effects,Adobe,motion-graphics,Creative,video,VFX,vfx|composite|mograph,/creative,Paid,2600,https://www.adobe.com/products/aftereffects.html,desktop,"vfx|motion",0.97,0.96
DaVinci Resolve,Blackmagic Design,video-editing,Creative,video,Color,color|edit|fusion,/creative,Free/Paid,2400,https://www.blackmagicdesign.com/products/davinciresolve,desktop,"color|grading",0.96,0.95
Figma,Figma,ui-design,Creative,design,UI,collaboration|prototype,/creative,Freemium/Paid,900,https://www.figma.com,web,"ui|prototype",0.97,0.98
Sketch,Sketch B.V.,ui-design,Creative,design,UI,design|handoff,/creative,Paid,1000,https://www.sketch.com,desktop,"ui|mac",0.9,0.85
InVision,InVision,prototype,Creative,design,Prototype,clickable|handoff,/creative,Freemium/Paid,1200,https://www.invisionapp.com,web,"prototype|handoff",0.85,0.8
Canva,Canva,design-suite,Creative,design,Templates,templates|social|brand,marketing,Freemium/Paid,800,https://www.canva.com,web,"templates|social",0.95,0.98
Blender,Blender Foundation,3d-suite,Creative,image,3D,model|animate|render,/creative,Free,1500,https://www.blender.org,desktop,"3d|open-source",0.96,0.96
Cinema 4D,Maxon,3d-suite,Creative,image,3D,mograph|render,/creative,Paid,1800,https://www.maxon.net/cinema-4d,desktop,"3d|mograph",0.93,0.9
Substance 3D Painter,Adobe,texture-paint,Creative,image,3D,textures|materials,/creative,Paid,1600,https://www.adobe.com/products/substance3d-painter.html,desktop,"pbr|textures",0.92,0.88
CorelDRAW,Corel,vector-design,Creative,image,Vector,branding|print,/creative,Paid,1500,https://www.coreldraw.com,desktop,"vector|corel",0.9,0.85
GIMP,GIMP,image-editing,Creative,image,Edit,retouch|layers,/creative,Free,1400,https://www.gimp.org,desktop,"open-source|image",0.85,0.87
Krita,Krita,image-painting,Creative,image,Paint,illustration|brushes,/creative,Free,1300,https://krita.org,desktop,"painting|open-source",0.87,0.86
Inkscape,Inkscape,vector-design,Creative,image,Vector,svg|vector,/creative,Free,1200,https://inkscape.org,desktop,"svg|open-source",0.88,0.88
Capture One,Capture One,photo-edit,Creative,image,Photo,raw|tether,/creative,Paid,1500,https://www.captureone.com,desktop,"photography",0.92,0.86
Avid Media Composer,Avid,video-editing,Creative,video,Timeline,editing|broadcast,/creative,Paid,2700,https://www.avid.com/media-composer,desktop,"broadcast",0.92,0.83
OBS Studio,OBS Project,screen-record,Creative,video,Live,record|stream,/creative,Free,900,https://obsproject.com,desktop,"stream|open-source",0.95,0.97
CapCut,ByteDance,video-editing,Creative,video,Templates,templates|social,/creative,Freemium/Paid,1600,https://www.capcut.com,web,"social|video",0.9,0.95
Clip Studio Paint,Celsys,illustration,Creative,image,Paint,comics|manga,/creative,Paid,1400,https://www.clipstudio.net,desktop,"manga|illustration",0.9,0.86
Affinity Photo,Serif,image-editing,Creative,image,Edit,retouch|hdr,/creative,Paid,1400,https://affinity.serif.com/photo,desktop,"image|affinity",0.9,0.88
Affinity Designer,Serif,vector-design,Creative,image,Vector,vector|ui,/creative,Paid,1300,https://affinity.serif.com/designer,desktop,"vector|affinity",0.9,0.88
Affinity Publisher,Serif,layout,Creative,image,Layout,print|magazine,/creative,Paid,1400,https://affinity.serif.com/publisher,desktop,"layout|affinity",0.9,0.86
