name,vendor,role,domain,category,sub_category,strengths,best_for,pricing,latency_ms_est,access_url,integration_type,tags,reliability_score,popularity_score
Epic EHR,Epic Systems,ehr,Healthcare,healthcare,EHR,clinical|orders,hospitals,Paid,1200,https://www.epic.com,saas,"ehr|epic",0.99,0.98
Cerner Millennium,Oracle,ehr,Healthcare,healthcare,EHR,clinical|orders,hospitals,Paid,1200,https://www.oracle.com/health,saas,"ehr|cerner",0.98,0.97
Allscripts Sunrise,Altera,ehr,Healthcare,healthcare,EHR,clinical|docs,hospitals,Paid,1200,https://www.alterahealth.com,saas,"ehr|allscripts",0.95,0.9
Athenahealth EHR,Athenahealth,ehr,Healthcare,healthcare,EHR,practice|billing,clinics,Paid,1000,https://www.athenahealth.com,saas,"ehr|athena",0.96,0.95
DrChrono,DrChrono,ehr,Healthcare,healthcare,EHR,practice|ipad,clinics,Paid,900,https://www.drchrono.com,saas,"ehr|clinic",0.92,0.88
eClinicalWorks,eClinicalWorks,ehr,Healthcare,healthcare,EHR,practice|billing,clinics,Paid,1000,https://www.eclinicalworks.com,saas,"ehr|clinic",0.94,0.9
NextGen Healthcare,NextGen,ehr,Healthcare,healthcare,EHR,practice|pm,clinics,Paid,1000,https://www.nextgen.com,saas,"ehr|pm",0.93,0.88
OpenMRS,OpenMRS,ehr,Healthcare,healthcare,EHR,open-source|global,ngo,Free,1100,https://openmrs.org,server,"ehr|open-source",0.9,0.86
Doximity,Doximity,network,Healthcare,healthcare,Communication,physician|fax,clinicians,Freemium/Paid,900,https://www.doximity.com,saas,"physician|fax",0.92,0.9
Doxy.me,Doxy.me,telemedicine,Healthcare,healthcare,Telemed,video|waiting,clinics,Freemium/Paid,900,https://doxy.me,web,"telemed|video",0.93,0.9
Amwell,Amwell,telemedicine,Healthcare,healthcare,Telemed,virtual-care,hospitals,Paid,1000,https://business.amwell.com,saas,"telehealth",0.92,0.88
Teladoc Health,Teladoc,telemedicine,Healthcare,healthcare,Telemed,on-demand|network,consumers,Paid,900,https://www.teladoc.com,saas,"telemedicine",0.94,0.92
OmniGraffle for Clinical,The Omni Group,diagram,Healthcare,healthcare,Docs,flow|diagram,clinical,Paid,800,https://www.omnigroup.com/omnigraffle,desktop,"diagram|mac",0.88,0.75
Benchling,Benchling,lab-platform,Healthcare,healthcare,LIMS,labs|dna,bio,Freemium/Paid,1000,https://www.benchling.com,saas,"lims|bio",0.95,0.92
Labguru,Holtzbrinck,lab-platform,Healthcare,healthcare,LIMS,eln|inventory,bio,Paid,1000,https://www.labguru.com,saas,"lims|eln",0.9,0.84
Geneious Biologics,Dotmatics,bioinformatics,Healthcare,healthcare,Bio,sequence|analysis,bio,Paid,1100,https://www.geneious.com,desktop,"bio|analysis",0.88,0.8
ClinVar,NCBI,knowledge,Healthcare,healthcare,Reference,variants|genetics,research,Free,800,https://www.ncbi.nlm.nih.gov/clinvar,web,"genomics|db",0.92,0.86
PubMed,NIH,knowledge,Healthcare,healthcare,Reference,biomed|papers,research,Free,800,https://pubmed.ncbi.nlm.nih.gov,web,"biomed|papers",0.98,0.99
Zotero,Zotero,references,Healthcare,healthcare,Reference,library|citations,research,Free,700,https://www.zotero.org,desktop,"citations|library",0.95,0.95
Mendeley,Elsevier,references,Healthcare,healthcare,Reference,library|pdf,research,Free/Paid,800,https://www.mendeley.com,desktop,"citations|pdf",0.9,0.88
HIPAA One,HIPAA One,compliance,Healthcare,compliance,Audit,hipaa|risk,enterprise,Paid,900,https://www.hipaaone.com,saas,"hipaa|audit",0.9,0.84
Veeva Vault Quality,Veeva,qa,Healthcare,healthcare,Quality,qms|docs,pharma,Paid,1100,https://www.veeva.com,saas,"qms|pharma",0.94,0.9
Medidata Rave,Medidata,clinical-data,Healthcare,healthcare,CTMS,edc|trials,pharma,Paid,1100,https://www.medidata.com,saas,"ctms|edc",0.94,0.9
REDCap,Vanderbilt,clinical-data,Healthcare,healthcare,CTMS,forms|research,academia,Free/Paid,1000,https://projectredcap.org,server,"edc|research",0.93,0.88
