name,vendor,role,domain,category,sub_category,strengths,best_for,pricing,latency_ms_est,access_url,integration_type,tags,reliability_score,popularity_score
Adobe Acrobat Reader,Adobe,pdf-reader,Office,pdf,Read,view|comment,office,Free,600,https://get.adobe.com/reader/,desktop,"pdf|reader",0.98,0.99
Adobe Acrobat Pro,Adobe,pdf-editor,Office,pdf,Edit,edit|ocr|e-sign,legal|office,Paid,900,https://www.adobe.com/acrobat.html,desktop,"pdf|editor|sign",0.97,0.97
Foxit Reader,Foxit,pdf-reader,Office,pdf,Read,view|comment,office,Free,600,https://www.foxit.com/pdf-reader/,desktop,"pdf|foxit",0.93,0.9
Foxit PhantomPDF,Foxit,pdf-editor,Office,pdf,Edit,edit|ocr|sign,office,Paid,900,https://www.foxit.com,desktop,"pdf|editor",0.92,0.86
Nitro PDF Pro,Nitro,pdf-editor,Office,pdf,Edit,edit|convert|sign,office,Paid,900,https://www.gonitro.com,desktop,"pdf|nitro",0.9,0.84
Smallpdf,Smallpdf,pdf-tools,Office,pdf,Web,compress|merge|convert,office,Freemium/Paid,700,https://smallpdf.com,web,"pdf|tools",0.9,0.9
DocuSign,DocuSign,e-sign,Office,pdf,Sign,esign|workflow,legal|sales,Paid,900,https://www.docusign.com,saas,"esign|contracts",0.98,0.98
Dropbox,Dropbox,cloud-drive,Office,storage,,sync|share,office,Freemium/Paid,700,https://www.dropbox.com,saas,"drive|cloud",0.97,0.96
Box,Box,cloud-drive,Office,storage,,enterprise|governance,enterprise,Paid,800,https://www.box.com,saas,"box|content",0.96,0.9
OneDrive,Microsoft,cloud-drive,Office,storage,,sync|share,office,Freemium/Paid,700,https://onedrive.live.com,saas,"microsoft|drive",0.97,0.95
Google Drive,Google,cloud-drive,Office,storage,,sync|share,office,Freemium/Paid,700,https://drive.google.com,saas,"gdrive|cloud",0.97,0.98
Microsoft Word,Microsoft,word-processor,Office,office,Docs,docs|track-changes,office,Paid,700,https://www.microsoft.com/microsoft-365/word,desktop,"office|word",0.98,0.99
Microsoft Excel,Microsoft,spreadsheets,Office,office,Sheets,analysis|formulas,finance|data,Paid,700,https://www.microsoft.com/microsoft-365/excel,desktop,"excel|sheets",0.98,0.99
Microsoft PowerPoint,Microsoft,presentations,Office,office,Slides,slides|templates,office,Paid,700,https://www.microsoft.com/microsoft-365/powerpoint,desktop,"ppt|slides",0.98,0.99
Google Docs,Google,docs,Office,office,Docs,collaboration|comments,office,Free,700,https://docs.google.com,web,"docs|google",0.97,0.97
Google Sheets,Google,spreadsheets,Office,office,Sheets,tables|automation,/organize,Free,600,https://sheets.google.com,web,"sheets|google",0.97,0.97
LibreOffice,The Document Foundation,office-suite,Office,office,,docs|spreadsheets,office,Free,800,https://www.libreoffice.org,desktop,"open-source|office",0.9,0.9
WPS Office,Kingsoft,office-suite,Office,office,,docs|compat,office,Freemium/Paid,800,https://www.wps.com,desktop,"office|wps",0.9,0.88
Evernote,Evernote,notes,Office,productivity,Notes,notes|web-clip,/organize,Freemium/Paid,900,https://evernote.com,saas,"notes",0.9,0.9
Notion,Notion,knowledge-base,Office,productivity,Wiki,wiki|db|notes,/organize,Freemium/Paid,900,https://www.notion.so,saas,"wiki|notes|db",0.95,0.96
Miro,Miro,whiteboard,Office,productivity,Collab,canvas|workshop,/organize,Freemium/Paid,900,https://miro.com,saas,"whiteboard|collab",0.95,0.95
Mural,Mural,whiteboard,Office,productivity,Collab,canvas|ideation,/creative,Freemium/Paid,900,https://www.mural.co,saas,"whiteboard|ideation",0.9,0.88
Calendly,Calendly,scheduling,Office,productivity,Calendar,booking|meeting,/organize,Freemium/Paid,700,https://calendly.com,saas,"schedule|calendar",0.96,0.96
Todoist,Doist,tasks,Office,productivity,Tasks,lists|reminders,/organize,Freemium/Paid,700,https://todoist.com,saas,"tasks|todo",0.94,0.94
ClickUp,ClickUp,work-os,Office,productivity,PM,tasks|docs|goals,/organize,Freemium/Paid,800,https://clickup.com,saas,"pm|work",0.92,0.9
