name,vendor,role,domain,category,sub_category,strengths,best_for,pricing,latency_ms_est,access_url,integration_type,tags,reliability_score,popularity_score
Salesforce,Salesforce,crm,Marketing,crm,,sales|service,enterprise,Paid,1400,https://www.salesforce.com,saas,"crm|enterprise",0.98,0.98
HubSpot,HubSpot,crm,Marketing,crm,,marketing|automation,marketing,Freemium/Paid,1200,https://www.hubspot.com,saas,"crm|marketing",0.97,0.97
Pipedrive,Pipedrive,crm,Marketing,crm,,pipeline|deals,smb,Paid,1000,https://www.pipedrive.com,saas,"crm|sales",0.94,0.92
Zoho CRM,Zoho,crm,Marketing,crm,,crm|automation,smb,Freemium/Paid,1000,https://www.zoho.com/crm,saas,"crm|zoho",0.94,0.9
Mailchimp,Intuit,email,Marketing,ads,Email,email|templates,marketing,Freemium/Paid,900,https://mailchimp.com,saas,"email|campaigns",0.96,0.96
SendGrid,Twilio,email,Marketing,ads,Email,transactional|api,dev,Freemium/Paid,800,https://sendgrid.com,saas,"email|api",0.96,0.95
Klaviyo,Klaviyo,marketing-automation,Marketing,ads,Email,flows|segments,ecommerce,Paid,900,https://www.klaviyo.com,saas,"email|ecommerce",0.95,0.93
ActiveCampaign,ActiveCampaign,marketing-automation,Marketing,ads,Email,crm|automation,marketing,Paid,1000,https://www.activecampaign.com,saas,"crm|marketing",0.93,0.88
Marketo,Adobe,marketing-automation,Marketing,ads,,lead|abm,enterprise,Paid,1200,https://business.adobe.com/products/marketo/adobe-marketo.html,saas,"marketing|abm",0.95,0.9
Pardot (Marketing Cloud),Salesforce,marketing-automation,Marketing,ads,,lead|journeys,enterprise,Paid,1200,https://www.salesforce.com/products/marketing-cloud,saas,"salesforce|marketing",0.94,0.88
Google Analytics,Google,analytics,Marketing,analytics,,ga4|events,web,Free,800,https://analytics.google.com,saas,"ga|analytics",0.98,0.98
Mixpanel,Mixpanel,product-analytics,Marketing,analytics,,events|cohorts,product,Paid,900,https://mixpanel.com,saas,"product|analytics",0.95,0.93
Amplitude,Amplitude,product-analytics,Marketing,analytics,,funnels|retention,product,Paid,900,https://amplitude.com,saas,"product|analytics",0.95,0.93
Hotjar,Hotjar,behavior-analytics,Marketing,analytics,,heatmaps|recordings,web,Freemium/Paid,900,https://www.hotjar.com,saas,"ux|heatmaps",0.95,0.95
Crazy Egg,Crazy Egg,behavior-analytics,Marketing,analytics,,heatmaps|ab,web,Freemium/Paid,900,https://www.crazyegg.com,saas,"ux|heatmaps",0.9,0.85
SEMrush,SEMrush,seo,Marketing,ads,SEO,keywords|audit,seo,Paid,1000,https://www.semrush.com,saas,"seo|semrush",0.97,0.96
Ahrefs,Ahrefs,seo,Marketing,ads,SEO,backlinks|audit,seo,Paid,1000,https://ahrefs.com,saas,"seo|backlinks",0.97,0.96
Moz Pro,Moz,seo,Marketing,ads,SEO,rank|audit,seo,Paid,1000,https://moz.com/products/pro,saas,"seo|moz",0.9,0.85
Buffer,Buffer,social,Marketing,ads,Social,schedule|analytics,smb,Freemium/Paid,900,https://buffer.com,saas,"social|buffer",0.93,0.9
Hootsuite,Hootsuite,social,Marketing,ads,Social,schedule|monitor,enterprise,Paid,1000,https://www.hootsuite.com,saas,"social|hootsuite",0.94,0.9
Sprout Social,Sprout Social,social,Marketing,ads,Social,engage|analytics,enterprise,Paid,1000,https://sproutsocial.com,saas,"social|analytics",0.93,0.88
Unbounce,Unbounce,landing-pages,Marketing,cms,,ab-test|drag-drop,marketing,Paid,900,https://unbounce.com,saas,"landing|ab",0.9,0.85
Webflow,Webflow,site-builder,Marketing,cms,,no-code|cms,marketing,Paid,900,https://webflow.com,saas,"cms|nocode",0.95,0.95
WordPress,Automattic,cms,Marketing,cms,,plugins|themes,web,Free/Paid,900,https://wordpress.org,saas,"cms|wp",0.98,0.99
Wix,Wix,site-builder,Marketing,cms,,drag-drop|templates,web,Freemium/Paid,900,https://www.wix.com,saas,"website|builder",0.93,0.92
